categories,repos,repo_id,interval,commits,cloc
Quantum-Chemistry,qcdb/qcdb,18,60,151,1428885
Quantum-Chemistry,qcdb/qcdb,18,90,153,1436090
Quantum-Chemistry,qcdb/qcdb,18,120,155,1437006
Quantum-Chemistry,qcdb/qcdb,18,150,155,1441260
Quantum-Chemistry,qcdb/qcdb,18,180,165,1446531
Quantum-Chemistry,qcdb/qcdb,18,30,138,112455
Assembly,lanl/qmasm,0,30,219,21439
Assembly,lanl/qmasm,0,60,237,21974
Assembly,lanl/qmasm,0,90,242,22160
Assembly,lanl/qmasm,0,120,243,22162
Assembly,lanl/qmasm,0,150,244,22344
Assembly,lanl/qmasm,0,180,245,22362
Assembly,XanaduAI/blackbird,1,30,75,28620
Assembly,XanaduAI/blackbird,1,60,80,29911
Assembly,XanaduAI/blackbird,1,90,82,30348
Assembly,XanaduAI/blackbird,1,120,82,30348
Assembly,XanaduAI/blackbird,1,150,83,30783
Assembly,XanaduAI/blackbird,1,180,83,30783
Assembly,BBN-Q/pyqgl2,2,150,697,99510
Assembly,BBN-Q/pyqgl2,2,180,694,99436
Assembly,BBN-Q/pyqgl2,2,90,672,92184
Assembly,BBN-Q/pyqgl2,2,120,690,99251
Assembly,BBN-Q/pyqgl2,2,60,580,88496
Assembly,BBN-Q/pyqgl2,2,30,524,72446
Assembly,artiste-qb-net/qubiter,3,90,194,394216
Assembly,artiste-qb-net/qubiter,3,120,197,394806
Assembly,artiste-qb-net/qubiter,3,150,197,394823
Assembly,artiste-qb-net/qubiter,3,180,200,396541
Assembly,artiste-qb-net/qubiter,3,60,190,394146
Assembly,artiste-qb-net/qubiter,3,30,171,391714
Assembly,BBN-Q/QGL.jl,4,180,97,4548
Assembly,BBN-Q/QGL.jl,4,150,94,4434
